ID,LAT,LON,REGION,SUBREGION,COUNTRY,LOCATION,MONTH,YEAR,DEPTH,SEVERITY,BLEACHING,SURVEY_TYP,WATER_TEMP,SOURCE,REFERENCE,COUNTRY
"29,293",-8.15,110.583,Asia,Southeast Asia,Indonesia,"Tuo Village, Temotu",11,"2,011",6 meter,-1,Severity Unknown,,29 degree C,"Reef Check, submitted by Arief Setyanto. Reef ID : NSWatuLawang",,IDN
"29,432",-10.255,166.259,Pacific,Southwest Pacific,Solomon Islands,Tuo village,8,"2,011",2m,0,No Bleaching,Reef Check survey,"Air temperature 30 deg C, water temperature 28 deg C",Reef Check submitted by 'Noelle van der Straaten,,SLB
"29,433",-10.269,166.279,Pacific,Southwest Pacific,Solomon Islands,Tuo village,8,"2,011",2m 30s,0,No Bleaching,Reef Check survey,"Air temperature 30 deg C, water temperature 28 deg C",Reef Check submitted by Noelle van der Straaten,,SLB
"29,434",-10.269,166.277,Pacific,Southwest Pacific,Solomon Islands,"Tuo, Fenualoa Island",8,"2,011",1.5,0,No Bleaching,Reef Check survey,,Reef Check submitted by Noelle van der Straaten,,SLB
"6,792",-4.96,119.28,Asia,Southeast Asia,Indonesia,Badi Island,5,"2,010",2 - 25m,3,HIGH,,,aku_edow@yahoo.com,,IDN
"6,779",-8.364067,116.0879,Asia,Southeast Asia,Indonesia,"Chill Out Reef Gili Air, Lombok",4,"2,010",3m,1,Low,"Rapid assessment, time swimmed",31 Celcius,"Naneng Setiasih, Reef Check Foundation Indonesia",,IDN
"7,202",0.77,120.14,Asia,Southeast Asia,Indonesia,"Lebo, Parigi Moutong",5,"2,010",1-5m,2,Medium,Fortuitous observation,> 30 deg C,"Abigail Moore.  LP3L Talinti 
E-mail : abigail2105@yahoo.com",,IDN
"7,208",1,104.79,Asia,Southeast Asia,Indonesia,Mapor Island,7,"2,010",,-1,Severity Unknown,,,"Mr Andrew Dixon, Nikoi island, Tanjung Pinang,Indonesia",,IDN
"29,351",-3.09,135.56,Asia,Southeast Asia,Indonesia,"Nabire, Papua",7,"2,010",5m,0,No Bleaching,,Air temperature 32 Deg C water temperatue 31 Deg C,Reef Check submitted by Miriam Reininger,,IDN
"29,352",-3.09,135.563,Asia,Southeast Asia,Indonesia,"Nabire, Papua",7,"2,010",12m,0,No Bleaching,,"Air temperature 32 Deg C, water temperature 31 Deg C",Reef Check submitted by Miriam Reininger,,IDN
